area_id,state_ut,city_town,rank_in_city,area_name,area_basis,price_low_psf,price_high_psf,bear_cagr_pct,base_cagr_pct,bull_cagr_pct,water_score,water_risk_label,development_score,liquidity_score,developer_score,overall_score,confidence_grade,source_type,source_reliability,verification_status,source_url,live_developments,in_progress_developments,planned_developments,investment_thesis,risk_1,risk_2,risk_3,last_refreshed_at
AND_VIJA_02,Andhra Pradesh,Vijayawada,2,Vijayawada Outer ring road fringe,SEED - replace/refresh with discovered candidates,1876,2982,4.7,7.7,11.2,53,Moderate,66,85,78,63,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Outer ring road fringe is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_03,Andhra Pradesh,Vijayawada,3,Vijayawada Industrial estate belt,SEED - replace/refresh with discovered candidates,7428,12701,8.8,11.8,15.3,67,Moderate,42,80,39,60,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Industrial estate belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_04,Andhra Pradesh,Vijayawada,4,Vijayawada New township zone,SEED - replace/refresh with discovered candidates,1752,3206,4.1,7.1,10.6,39,High,84,51,37,50,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada New township zone is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_05,Andhra Pradesh,Vijayawada,5,Vijayawada University/education cluster,SEED - replace/refresh with discovered candidates,2182,2945,4.5,7.5,11.0,69,Moderate,75,37,93,63,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada University/education cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_06,Andhra Pradesh,Vijayawada,6,Vijayawada Logistics corridor,SEED - replace/refresh with discovered candidates,2869,4217,3.5999999999999996,6.6,10.1,36,High,89,50,55,52,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Logistics corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_07,Andhra Pradesh,Vijayawada,7,Vijayawada Metro/proposed transit node,SEED - replace/refresh with discovered candidates,3415,5429,5.1,8.1,11.6,59,Moderate,69,54,79,61,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Metro/proposed transit node is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_08,Andhra Pradesh,Vijayawada,8,Vijayawada Highway growth belt,SEED - replace/refresh with discovered candidates,3955,6763,7.800000000000001,10.8,14.3,80,Lower,52,87,89,73,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Highway growth belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_09,Andhra Pradesh,Vijayawada,9,Vijayawada Emerging residential extension,SEED - replace/refresh with discovered candidates,1577,2885,10.0,13.0,16.5,64,Moderate,47,45,62,59,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Emerging residential extension is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_10,Andhra Pradesh,Vijayawada,10,Vijayawada Peripheral village cluster,SEED - replace/refresh with discovered candidates,3226,4355,4.5,7.5,11.0,87,Lower,57,72,45,62,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Peripheral village cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_01,Andhra Pradesh,Guntur,1,Guntur Airport corridor,SEED - replace/refresh with discovered candidates,3702,5441,10.4,13.4,16.9,70,Lower,57,53,42,62,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Airport corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_02,Andhra Pradesh,Guntur,2,Guntur Outer ring road fringe,SEED - replace/refresh with discovered candidates,4521,7188,8.2,11.2,14.7,52,Moderate,86,76,60,67,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Outer ring road fringe is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_03,Andhra Pradesh,Guntur,3,Guntur Industrial estate belt,SEED - replace/refresh with discovered candidates,11698,20003,4.9,7.9,11.4,44,High,65,90,54,58,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Industrial estate belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_04,Andhra Pradesh,Guntur,4,Guntur New township zone,SEED - replace/refresh with discovered candidates,8112,14844,8.9,11.9,15.4,71,Lower,88,38,70,68,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur New township zone is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_05,Andhra Pradesh,Guntur,5,Guntur University/education cluster,SEED - replace/refresh with discovered candidates,8869,11973,8.2,11.2,14.7,79,Lower,79,67,74,73,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur University/education cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_06,Andhra Pradesh,Guntur,6,Guntur Logistics corridor,SEED - replace/refresh with discovered candidates,3311,4867,8.1,11.1,14.6,51,Moderate,76,37,64,58,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Logistics corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_07,Andhra Pradesh,Guntur,7,Guntur Metro/proposed transit node,SEED - replace/refresh with discovered candidates,5414,8608,2.5,5.5,9.0,62,Moderate,70,68,75,60,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Metro/proposed transit node is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_08,Andhra Pradesh,Guntur,8,Guntur Highway growth belt,SEED - replace/refresh with discovered candidates,10007,17111,6.800000000000001,9.8,13.3,35,High,88,65,39,56,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Highway growth belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_09,Andhra Pradesh,Guntur,9,Guntur Emerging residential extension,SEED - replace/refresh with discovered candidates,10814,19789,9.9,12.9,16.4,39,High,67,41,46,54,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Emerging residential extension is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_GUNT_10,Andhra Pradesh,Guntur,10,Guntur Peripheral village cluster,SEED - replace/refresh with discovered candidates,9692,13084,8.7,11.7,15.2,58,Moderate,79,93,88,75,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Guntur Peripheral village cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_01,Andhra Pradesh,Tirupati,1,Tirupati Airport corridor,SEED - replace/refresh with discovered candidates,5013,7369,7.1,10.1,13.6,79,Lower,81,58,75,70,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Airport corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_02,Andhra Pradesh,Tirupati,2,Tirupati Outer ring road fringe,SEED - replace/refresh with discovered candidates,8527,13557,3.2,6.2,9.7,76,Lower,43,94,91,66,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Outer ring road fringe is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_03,Andhra Pradesh,Tirupati,3,Tirupati Industrial estate belt,SEED - replace/refresh with discovered candidates,10463,17891,3.3,6.3,9.8,43,High,89,82,44,58,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Industrial estate belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_04,Andhra Pradesh,Tirupati,4,Tirupati New township zone,SEED - replace/refresh with discovered candidates,5720,10467,7.4,10.4,13.9,53,Moderate,45,72,81,61,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati New township zone is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_05,Andhra Pradesh,Tirupati,5,Tirupati University/education cluster,SEED - replace/refresh with discovered candidates,3545,4785,5.199999999999999,8.2,11.7,46,High,83,41,52,54,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati University/education cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_06,Andhra Pradesh,Tirupati,6,Tirupati Logistics corridor,SEED - replace/refresh with discovered candidates,9392,13806,3.4000000000000004,6.4,9.9,47,High,45,53,48,45,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Logistics corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_07,Andhra Pradesh,Tirupati,7,Tirupati Metro/proposed transit node,SEED - replace/refresh with discovered candidates,11638,18504,7.800000000000001,10.8,14.3,77,Lower,71,49,72,67,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Metro/proposed transit node is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_08,Andhra Pradesh,Tirupati,8,Tirupati Highway growth belt,SEED - replace/refresh with discovered candidates,4371,7474,8.7,11.7,15.2,42,High,56,82,79,64,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Highway growth belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_09,Andhra Pradesh,Tirupati,9,Tirupati Emerging residential extension,SEED - replace/refresh with discovered candidates,2509,4591,6.800000000000001,9.8,13.3,60,Moderate,40,38,59,51,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Emerging residential extension is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_TIRU_10,Andhra Pradesh,Tirupati,10,Tirupati Peripheral village cluster,SEED - replace/refresh with discovered candidates,6295,8498,7.6,10.6,14.1,68,Moderate,55,38,83,61,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Tirupati Peripheral village cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_KURN_01,Andhra Pradesh,Kurnool,1,Kurnool Airport corridor,SEED - replace/refresh with discovered candidates,9504,13970,9.7,12.7,16.2,49,High,53,61,76,62,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Kurnool Airport corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_KURN_02,Andhra Pradesh,Kurnool,2,Kurnool Outer ring road fringe,SEED - replace/refresh with discovered candidates,6197,9853,6.300000000000001,9.3,12.8,69,Moderate,46,80,74,64,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Kurnool Outer ring road fringe is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_KURN_03,Andhra Pradesh,Kurnool,3,Kurnool Industrial estate belt,SEED - replace/refresh with discovered candidates,5499,9403,7.9,10.9,14.4,63,Moderate,55,78,69,65,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Kurnool Industrial estate belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_KURN_04,Andhra Pradesh,Kurnool,4,Kurnool New township zone,SEED - replace/refresh with discovered candidates,2417,4423,7.4,10.4,13.9,69,Moderate,85,83,52,70,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Kurnool New township zone is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_KURN_05,Andhra Pradesh,Kurnool,5,Kurnool University/education cluster,SEED - replace/refresh with discovered candidates,7883,10642,8.7,11.7,15.2,43,High,87,53,37,58,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Kurnool University/education cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_KURN_06,Andhra Pradesh,Kurnool,6,Kurnool Logistics corridor,SEED - replace/refresh with discovered candidates,7270,10686,2.5999999999999996,5.6,9.1,54,Moderate,88,43,44,52,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Kurnool Logistics corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_KURN_07,Andhra Pradesh,Kurnool,7,Kurnool Metro/proposed transit node,SEED - replace/refresh with discovered candidates,6232,9908,4.0,7.0,10.5,55,Moderate,41,67,57,51,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Kurnool Metro/proposed transit node is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
